,k,n_users_evaluated,precision_at_k,recall_at_k
Popularity,10.0,131209.0,0.07252246416023292,0.06984315126267857
Reorder Popularity,10.0,131209.0,0.07215130059675785,0.0696160012054501
Personalized Frequency,10.0,131209.0,0.2838355854654279,0.32978418751152033
