,k,n_users_evaluated,precision_at_k,recall_at_k
alpha=15,10.0,131209.0,0.08941002522692802,0.12109055510701523
alpha=40,10.0,131209.0,0.06551989573885939,0.0981054421813323
alpha=100,10.0,131209.0,0.044162366910806425,0.07481208980144435
